characteristic,level,rate_per_1000,ci95
Birth weight,2.5-3.9 kg,17.0,11.3 to 22.8
Birth weight,Low birth weight (<2.5 kg),40.9,6.1 to 75.7
Birth weight,>=4.0 kg,48.1,42.6 to 53.7
Birth weight,Missing,35.5,33.2 to 37.7
Plurality,Singleton,32.6,30.6 to 34.6
Plurality,Multiple gestation,153.5,132.9 to 174.1
Mode of delivery,No caesarean delivery,42.5,37.8 to 47.3
Mode of delivery,Caesarean delivery,50.9,33.0 to 68.8
Mode of delivery,Missing,35.2,33.0 to 37.4
Skilled birth attendance,No skilled birth attendance,38.2,32.0 to 44.5
Skilled birth attendance,Skilled birth attendance,47.8,41.8 to 53.8
Skilled birth attendance,Missing,35.2,33.0 to 37.4
Place of delivery,Non-facility delivery,40.0,34.5 to 45.5
Place of delivery,Facility delivery,49.7,41.6 to 57.8
Place of delivery,Missing,35.2,33.0 to 37.4
Immediate skin-to-skin contact,No skin-to-skin contact,32.4,28.4 to 36.4
Immediate skin-to-skin contact,Missing,36.9,34.6 to 39.2
Breastfeeding counselling,No breastfeeding counselling,37.7,33.2 to 42.2
Breastfeeding counselling,Breastfeeding counselling,10.9,7.0 to 14.8
Breastfeeding counselling,Missing,37.1,34.8 to 39.4
Observed breastfeeding,Breastfeeding not observed,36.6,32.2 to 41.0
Observed breastfeeding,Breastfeeding observed,12.1,7.4 to 16.7
Observed breastfeeding,Missing,37.1,34.8 to 39.5
Duration of pregnancy,9 months,33.8,31.7 to 35.9
Duration of pregnancy,<=8 months,295.3,249.6 to 341.1
Duration of pregnancy,>=10 months / other,41.3,28.8 to 53.7
Preceding birth interval,>=60 months,36.4,34.2 to 38.6
